uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
元素法典,!ポジティブ,机娘水ポジティブ,"{masterpiece},best quality,{full body},{{1 girl}},{{beauty detailed eye}},{mecha},huge filesize,{bare shoulders},science fiction,highly detailed,illustration,extremely detailed cg unity wallpaper,submerge,cinematic lighting,dramatic angle,{{beautiful face}},posing,caustics,fine water surface,mechanical wing,metal wings,mecha wing,{mecha clothes},robot girl,beautiful detailed face",",",,,,
元素法典,!ポジティブ,机凯种ポジティブ,"{{masterpiece}},flat chestbest quality,{highres},solo,flat chest,{{a girl inside the church with white hair and blue pupil surrounded by many glowing feathers in cold face}},detailed face,night with bright colorful lights whith richly layered clouds and clouded moon in the detailed sky,{a lot of glowing particles},high ponytail,mecha clothes,robot girl,cool movement,sliver bodysuit,{filigree},{delicate and intricate hair},{{{sliver and broken body}}},blue streaked hair,full body,depth of field,{sitting on a blue star}",",",,,,
元素法典,!ポジティブ,空间法ポジティブ,"{{illustration}}, {{floating hair}}, {{chromatic aberration}}, {{caustic}}, lens flare, dynamic angle, {{portrait}}, {1 girl}, {{solo}}, cute face, {{hidden hands}}, asymmetrical bangs, {beautiful detailed eyes}, eye shadow, {{huge clocks}}, {{glass strips}}, {floating glass fragments}, {{colorful refraction}}, {beautiful detailed sky}, {{dark intense shadows}}, {{cinematic lighting}}, {{overexposure}}, {expressionless}, blank stare, big top sleeves, {{frills}}, hair ornament, ribbons, bowties, buttons, {{{small breast}}}, pleated skirt, {{sharp focus}}, {{masterpiece}}, {{{best quality}}}, {{extremely detailed}}, colorful, hdr",",",,,,
元素法典,!ポジティブ,血魔法ポジティブ,"masterpiece,best quality,best quality,amazing,1girl,finely detail,depth of field,extremely detailed cg unity 8k wallpaper,masterpiece,full body,{loli},{white hair},red streaked hair,red eyes,{full body},red hair,{{{with sword}}},angry face,{beautiful detailed eyes},blood drop,blood fog,floating hair,light shafts,soft focus,character focus,disheveled hair,long bangs,hairs between eyes,looking at viewer,lowing hair,floating,splashing blood,long hair,{bloodstain}",",",,,,
元素法典,!ポジティブ,月亮法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{{an extremely delicate and beautiful}},cinematic angle,floating,{beautiful detailed eyes},{detailed light},cinematic lighting,beautifully detailed sky,{1girl},white hair,blue eyes,{high ponytail},cloak,glowing eyes,{{moon}},{moonlight},starry sky,{lighting particle},fog,snow,{painting},{sketch},{bloom}",",",,,,
元素法典,!ポジティブ,幻之时ポジティブ,"{masterpiece},{best quality},{1girl},amazing,beautiful detailed eyes,finely detail,depth of field,extremely detailed cg,original,extremely detailed wallpaper,loli,white hair,magic circle,cat ears,long hair,white hair/yellow eyes,wand,pentagram,clock,{masterpiece},{best quality},{1girl},amazing,beautiful detailed eyes,finely detail,depth of field,extremely detailed cg,original,extremely detailed wallpaper,loli,white hair",",",,,,
元素法典,!ポジティブ,刻刻帝ポジティブ,"{{{crystals texture hair}}},{{{{{extremely detailed cg}}}}},{{8k wallpaper}},{{{{crystalline purple gemstone gloves}}}},{{beautiful detailed glass hair}},{{glass shaped texture hand}},{{crystallize texture body}},gem body,hands as clear as jewels,crystallization of clothes,{{crystals texture skin}},sparkle,lens flare,light leaks,broken glass,{{{{detailed glass shaped clothes}}}},{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{illustration}},{{disheveled hair}},{{frills}},{1 girl},{solo},dynamic angle,big top sleeves,floating,beautiful detailed gemstone sky,gemstone sea,beautiful detailed eyes,overexposure,side blunt bangs,hairs between eyes,ribbons,bowties,buttons,bare shoulders,{{{small breast}}},pleated skirt,crystals texture flowers,{{detailed crystallized clothing}},{gemstone of body},solo focus,{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{iridescence and rainbow hair}}}}}}}}}}}}}}}}}}}}}}}}}}}}}},{{{{{{detailed cute anime face}}}}}},{{loli}},{{{{{{watercolor medium}}}}}},{{{masterpiece}}},{{{clock}}},{{{red}}},{{{blood}}},finely detail,depth of field,blood drop,blood fog",",",,,,
元素法典,!ポジティブ,死灵法ポジティブ,"cinematic lighting,{{best quality}},{{single human girl}},{{{{upper body}}}},{{extremely detailed eyes and face}},ink,{{{bone}}},{{{ribs}}},one girl,a young girl,upper body,rose,black hair,blue eyes,curly hair,greyscale,no shadow,simple background,bright skin,cherry blossoms",",",,,,
元素法典,!ポジティブ,自然法ポジティブ,"{{{masterpiece}}},{{best quality}},super fine illustration,beautiful and delicate water,{{the finest grass. beautiful eyes}},{very delicate light},perfect and delicate limbs,{nature},painting,water spray,{{fine luminescence}},very fine 8k cg wallpaper,lavender eyes,pink pupils,whole body,white hair,bright eyes,{{an extremely delicate and beautiful girl}},{{1 girl}},medium bust,dynamic angle,{white dress with gold decoration},{long hair flowing with the wind},beautiful hair ornaments,delicate wet skirt,nsfw,breeze,long bangs between eyes,wrinkled skirt,{staring blankly},lovely big eyes,messy hair,payot,lateral braid,{tulle lace white skirt flowers and grass meadow},near the water edge,{{sunset}},starry sky in a circle,randomly distributed clouds,{{{river}}},splashing water,falling petals",",",,,,
元素法典,!ポジティブ,城堡法ポジティブ,"{{{masterpiece}}},best quality,illustration,beautiful detailed glow,detailed ice,beautiful detailed water,red moon,{{{{magic circle}}}},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{{floating palaces}},azure hair,disheveled hair,long bangs,hairs between eyes,dark dress,{{dark magician girl}},black kneehighs,black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves",",",,,,
元素法典,!ポジティブ,森火法ポジティブ,"{{{{ink}}}},{{watercolor}},{{best quality}},{spirit},{{illustration}},{{{1 girl}}},{beautiful detailed eyes},world masterpiece theater,depth of field,{burning forest},spark,anime face,black gauze skirt,{red hair},blue eyes,focus on face,medium breasts,{{{{{messy long hair}}}}},bare shoulder,very close to viewers,veil,light leaks,burning sky,navel,{{bustier}},flame,red gem necklace,rainbow in the sky,flames burning around,a burning church,{{{fire butterflys}}},{flying sparks}",",",,,,
元素法典,!ポジティブ,森林法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{beautiful detailed eyes},{{detailed light 1girl}},loli,small breasts,floating hair,glowing eyes,pointy ears,white hair,green eyes,halter dress,feather,leaves,nature,{sunlight},river,{forest},{painting},{sketch},{bloom}",",",,,,
元素法典,!ポジティブ,森林冰	ポジティブ,"{{{{ink}}}},{{watercolor}},world masterpiece theater,{{best quality}},depth of field,{{illustration}},{1 girl},anime face,medium breast,floating,beautiful detailed sky,looking at viewers,detailed organdie dress,very close to viewers,bare shoulder,golden bracelet,focus on face,messy long hair,veil,upper body,lens flare,light leaks,bare shoulders,detailed beautiful snow forest with trees,spirit,grey hair,white clothes,{{snowflakes}},floating sand flow,navel,{beautiful detailed eyes},{8k wallpaper}",",",,,,
元素法典,!ポジティブ,水下法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{{underwater}},{illustration},{beautiful detailed water},{{coral}},open tuck,{{extremely delicate and beautiful girls}},dynamic angle,floating,{beautiful detailed eyes},{detailed light},{loli},floating hair,glowing eyes,pointy ears,{splash},underwater,{{fishes}},white hair,green right eye,iceblue left eye,leaves dress,feather,nature,{sunlight},{underwater forest},{painting},{bloom},{detailed glow},drenched,seaweed,fish,{{{tyndall effect}}},face to face",",",,,,
元素法典,!ポジティブ,水晶法ポジティブ,"masterpiece,{{{best quality}}},{illustration},{{{extremely detailed cg unity 8k wallpaper}}},game cg,{{{{1girl}}}},{solo},{beautiful detailed eyes},{{shine eyes}},goddess,fluffy hair,messy hair,ribbons,hair bow,{flowing hair},{glossy hair},{silky hair},{{white stockings}},{{{gorgeous crystal armor}}},cold smile,stare,cape,{{{crystal wings}}},{{grand feathers}},{{altocumulus}},{clear sky},{snow mountain},{{flowery flowers}},{{flowery bubbles}},{{cloud map plane}},{{{crystal}}},crystal poppies,{{{{{lacy misty}}}}},{posing sketch},{brilliant light},cinematic lighting,{{thick coating}},{glass tint},{watercolor},{ambient light},long focus,{colorful blisters},ukiyoe style",",",,,,
元素法典,!ポジティブ,水森法ポジティブ,"{extremely detailed cg unity 8k wallpaper},{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{best illustration},{best shadow},{{an extremely delicate and beautiful}},dynamic angle,floating,solo,{{1girl}},{long wavy curly hair},expressionless,{{white idol dress}},anglesailor dress,{detailed wet clothes},silk shawl,bikini,underboob,frills,cute anime face,blush,{beautiful detailed eyes},{detailed light},feather,nature,{sunlight},river,{forest},{{{floating palace}}},beautiful and delicate water,{painting},{sketch},{bloom},{shine}",",",,,,
元素法典,!ポジティブ,水魔法ポジティブ,"{{masterpiece}}, {{{best quality}}}, {{ultra detailed}}, {{illustration}}, {{disheveled hair}}, {{frills}}, {1 girl}, {solo}, dynamic angle, big top sleeves, floating, beautiful detailed sky, beautiful detailed water, beautiful detailed eyes, overexposure, {fist}, expressionless, side blunt bangs, hairs between eyes, ribbons, bowties, buttons, bare shoulders, {{{small breast}}}, detailed wet clothes, blank stare, pleated skirt, flowers",",",,,,
元素法典,!ポジティブ,星霞海ポジティブ,"dream,{{{extremely detailed cg unity 8k wallpaper}}},{painting},{{{ink}}},amazing,depth of field,{{best quality}},{{masterpiece}},highres,dynamic angle,{illustration},cinematic lighting,{1girl},{{wavy silver hair}},{{loli}},{{extremely detailed eyes and face}},{{{{{{{{{{detailed flooding bare feet}}}}}}}}}},translucent pink skirt,gemological hair,french braid,pointy ears,looking at viewer,{{translucent fluttering skirt}},yellow hairpin,{{white dress with pink lace with yellow decoration}},sleeves past wrists,{{sleeves past fingers}},walking motion,strapless dress,ocean waves,wind,{{{glistening light of waves}}},{detailed sunset glow},{floating flow},{{coral}},{luminous},coast,{floating colorful bubbles},beautiful detailed sky,{fluorescence},detailed shadow,{conch},beautiful detailed water,drenched,starfish,meteor,rainbow,{seabirds},{glinting stars},{glowworm},{splash},detailed cloud,shell,{fireworks}",",",,,,
元素法典,!ポジティブ,星空法ポジティブ,"{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{illustration}},{{disheveled hair}},beautiful detailed eyes,{{{{1girl}}}},{solo},dynamic angle,dark magician girl,{{black kneehighs}},{{{{{{{{starry tornado}}}}}}}},starry nebula,{{frills}},beautiful detailed sky,beautiful detailed eyes,evil smile,expressionless,hairs between eyes,white hair,pleated skirt,{{disreveled hair}}",",",,,,
元素法典,!ポジティブ,星源法ポジティブ,"best quality,amazing,beautiful golden eyes,finely detail,depth of field,extremely detailed cg unity 8k wallpaper,masterpiece,{{{long dark blond hair}}},{{red mediumhair}},{1 girl},{white stockings},{{{{{medium breasts}}}}},{hair ribbon},exposing cleavage,{{beautiful butterflies in detail}},{{{halter dress}}},huge ahoge,particle,{{{solo}}},{background of details},standing,{starry sky in beautiful detail},{{{{gloom expression depressed}}}},{hazy fog},{{{very long hair}}},{fluttering hair},{thick hair},{{{gelatinous texture}}},{profile},{ruins of beautiful details},{{{standing on the surface of the sea}}},{close up of people},{{{smooth skin}}},{{{upper body}}},{smooth and radiant skin},{smooth and radiant face},perfect details,beautifully gorgeous necklace,authentic skin texture,{cleavage},{{{authentic and detailed face}}},{{{{{{{{{{unexposed}}}}}}}}}}",",",,,,
元素法典,!ポジティブ,星冰乐ポジティブ,"{{{masterpiece}}},best quality,illustration,{beautiful detailed girl},beautiful detailed glow,detailed ice,beautiful detailed water,{beautiful detailed eyes},expressionless,beautiful detailed white gloves,{{{{{{floating palaces}}}}}},azure hair,disheveled hair,long bangs,hairs between eyes,{skyblue dress},black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves,{{{ice crystal texture wings}}}",",",,,,
元素法典,!ポジティブ,雪月法ポジティブ,"hiten 1,{{{masterpiece}}},best quality,illustration,beautiful detailed glow,detailed ice,beautiful detailed water,red moon,snowflake,{beautiful detailed eyes},expressionless,beautiful detailed white gloves,{{{{floating cloud}}}},azure hair,disheveled hair,long bangs,hairs between eyes,dark dress,{{dark magician girl}},black kneehighs,black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves",",",,,,
元素法典,!ポジティブ,天选术ポジティブ,please draw a picture of an exquisite girl in a princess dress with delicate gold metal decorations. she stands there looking at me,",",,,,
元素法典,!ポジティブ,冬雪法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},beautiful detailed sky,night,stars,{{{1girlan extremely delicate and beautiful girl}}},red eyes,dramatic angle,small breasts,{{{full body}}},hood,cold face and white shirt,{{{long white hair}}},{red hair},{red plum blossom},{{winter}},{{{{{{{{{snowflakesdetailed cute anime face}}}}}}}}},cinmatic lighting,{{red and white flowers}},hairs between eyes,expressionless,young girl,{{{facing the lens}}},{starry sky},{{beautiful face}},{{full body}},{sitting},depth of field,{{colorful}},scenery,hair flower,lantern,christmas,{starfall}",",",,,,
元素法典,!ポジティブ,虹彩法ポジティブ,"{{extremely detailed cg}},{{8k wallpaper}},{{{masterpiece}}},{{best quality}},{watercolor medium},{{beautiful detailed starry sky}},cinmatic lighting,loli,princess,very long rainbow hair,side view,looking at viewer,full body,frills,{far from viewer},{{extremely detailed face}},{{an extremely delicate and beautiful girl}},{{extremely detailed cute anime face}},{{extremely detailed eyes}},{{{extremely detailed body}}},{ultra detailed},illustration,{{bare stomach}},{{bare shoulder}},small breast,{{sideboob}},{{{{floating and rainbow hair}}}},{{{iridescence and rainbow hair}}},{{{extremely detailed sailor dress}}},{{{{iridescence and rainbow dress}}}},{iridescence and rainbow eyes},beautiful detailed hair,beautiful detailed dress,dramatic angle,expressionless,{big top sleeves},frills,blush,{ahoge}",",",,,,
元素法典,!ポジティブ,白骨法ポジティブ,"cinematic lighting, {{best quality}},{{single human girl}},{{{{upper body}}}},{{extremely detailed eyes and face}},{{church}},{{annoyed}},{{ink}},{{illustration}},depth of field,{{frown}},{{expression}},{{red eyes}},{{{{white hair}}}},{{extremely detailed}},{{watercolor}},{{anime face}},{skull on dress},{{{yokozuwari}}},{{detailed skeleton church}},{{{beautiful detailed black gothic empire waist dress}}},{{{dramatic angle}}},medium breast,{8k wallpaper},{{bright eyes}}, {looking at viewers},{{close to viewers}},{{masterpiece}},{{{{{messy long hair}}}}},{{{{1girl}}}},lens flare,light leaks",",",,,,
元素法典,!ポジティブ,秘境法ポジティブ,"{extremely detailed cg unity 8k wallpaper},{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{best illustration},{best shadow},{{an extremely delicate and beautiful}},dynamic angle,floating,fairyland,dynamic angle,sea of flowers,beautiful detailed garden,wind,classic,spring,{detailed light},feather,nature,{sunlight},river,forest,{{{floating palace}}},{{the best building}},beautiful and delicate water,{painting},{sketch},{bloom},{shine}",",",,,,
元素法典,!ポジティブ,浮世绘ポジティブ,"{watercolor medium},{{ukiyoe style}},{{{{masterpiece}}}},{{{best quality}}},{illustration},{{{{{{{{{{1girl}}}}}}}}}},{{{{{{{{{{solo}}}}}}}}}},{{an extremely delicate and beautiful}},{{little girl}},cute,{{hime cut}},side blunt bangs,{{{{ultramarine hair}}}},hairs between eyes,ribbons,bracelet,bare shoulders,{{japanese clothes}},sakura,{{slit pupils}},{{miko}},{off shoulder},ace,{kagura suzu},sword",",",,,,
元素法典,!ポジティブ,泡泡法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{{illustration}},{{an extremely delicate and beautiful}},dynamic angle,floating,{beautiful detailed eyes},{detailed light},{{{ink}}},depth of field,{{watercolor 1girl}},small breasts,red hair,blue eyes,{{veil}},bare shoulders,navel,{starry sky},{desert},{floating sand flow},{{{colorful bubble}}}",",",,,,
元素法典,!ポジティブ,望穿水ポジティブ,"extremely detailed cg unity 8k wallpaper,best quality,noon,beautiful detailed water,long black hair,beautiful detailed girl,serafuku,view straight on,eyeball,hair flower,close up",",",,,,
元素法典,!ポジティブ,摩登法ポジティブ,"{{{{retro artstyle}}}},{{masterpiece}},best quality,illustration,1 girl,mature female,small breast,beautiful detailed eyes,long sleeves,hoodie,frills,no shadow,simple background,bright skin",",",,,,
元素法典,!ポジティブ,融合法ポジティブ,"a girl,phoenix girl,fluffy hair,war,a hell on earth,beautiful and detailed explosion,cold machine,fire in eyes,world war,burning,metal texture,exquisite cloth,metal carving,volume,best quality,normal hands,metal details,metal scratch,metal defects,{{masterpiece}},best quality,official art,4k,best quality,extremely detailed cg unity 8k,illustration,highres,masterpiece,contour deepening,azur lane,girls' front,magical,cloud map plan,contour deepening,long focus,depth of field,a cloudy sky,black smoke,smoke of gunpowder,long focus,mature,resolute eyes,burning,burning sky,burning hair,burn oneself in flames,fighting,covered in blood,complex pattern,battleing,flying flames,flame whirlpool,doomsday scenes,float,splashing blood,on the battlefield,bloody scenes,good looking flame,exquisite flame,exquisite blood,photorealistic,watercolor,colourful,{{{masterpiece}}},best quality,illustration,beautiful detailed glow,detailed ice,beautiful detailed water,red moon,{{{{magic circle}}}},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{{floating palaces}},azure hair,disheveled hair,long bangs,hairs between eyes,dark dress,{{dark magician girl}},black kneehighs,black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves,{{{masterpiece}}},best quality,illustration,{beautiful detailed girl}",",",,,,
元素法典,!ポジティブ,雷男法ポジティブ,"a man with has short black hair,a round hat,no facial features,a high collar coat,flashes of lightning from the hands,full body,{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{detailed light},{{expressionless}},{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{detailed light},{{an extremely delicate and beautiful}},{{man}},{{lightning in hand}},lightning surrounds men,{{{lightning chain}}},suspended crystal,with lightning inside the crystal,{{suspended colorless crystal}}",",",,,,
元素法典,!ポジティブ,流沙法ポジティブ,"cinematic lighting, {{best quality}},{{extremely detailed eyes and face}},{{{{ink}}}},{{illustration}},depth of field,{{extremely detailed}},{{watercolor}},{{anime face}},{{{dramatic angle}}},medium breast,{8k wallpaper},{{bright eyes}}, {looking at viewers},{detailed organdie dress},{{{{{very close to viewers}}}}},{{sleepy}},{{masterpiece}},{{{{{{surrounded by heavy floating sand flow and floating sharp stones}}}}}},{{{{{messy long hair}}}}},{{{{veil}}}},focus on face,{upper body},{bare shoulder},{{{{1girl}}}},{golden bracelet},{long yarn},{{sunset}},lens flare,light leaks,{{detailed beautiful desert with cactus}},medium wind,{detailed beautiful sky}",",",,,,
元素法典,!ポジティブ,冰火法ポジティブ,"{{ink}},{{watercolor}},{{best quality}},{expressionless},{{illustration}},{beautiful detailed girl},{beautiful detailed eyes},world masterpiece theater,depth of field,{blue spark},anime face,black gauze skirt,{red and blue hair},blue eyes,focus on face,medium breasts,{{{{{messy long hair}}}}},bare shoulder,very close to viewers,burning sky,navel,{{bustier}},flame,rainbow in the sky,{{flames burning ice}},{{{fire butterflys}}},{{{ice crystal texture wings}}},{flying sparks},{detailed ice},{{a lot of luminous ice crystals}},{{burning feathers}},{feathers made of ice},{frozen feathers},{{{ice and fire together}}}",",",,,,
元素法典,!ポジティブ,冰系改ポジティブ,"{{{masterpiece}}},best quality,illustration,{beautiful detailed girl},beautiful detailed glow,detailed ice,beautiful detailed water,{beautiful detailed eyes},expressionless,beautiful detailed white gloves,{{{{floating palaces}}}},azure hair,disheveled hair,long bangs,hairs between eyes,{skyblue dress},black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves,{{{ice crystal texture wings}}},{{{{{{{{{{{{{{{{{{{{{{{{{{{{{{iridescence and rainbow hair}}}}}}}}}}}}}}}}}}}}}}}}}}}}}},{{{{{{detailed cute anime face}}}}}},{{loli}},{{{{{{watercolor medium}}}}}},{{{masterpiece}}}",",",,,,
元素法典,!ポジティブ,冰魔法ポジティブ,"{{{masterpiece}}},best quality, illustration,{beautiful detailed girl},beautiful detailed glow,detailed ice,beautiful detailed water,{beautiful detailed eyes},expressionless,{floating palaces},azure hair,disheveled hair,long bangs, hairs between eyes,{skyblue dress},black ribbon,white bowties,midriff,{{{half closed eyes}}},big forhead,blank stare,flower,large top sleeves",",",,,,
元素法典,!ポジティブ,唤龙术ポジティブ,"{{masterpiece}},{{{best quality}}},illustration,1 girl,mature female,small breast,beautiful detailed eyes,long sleeves,hoodie,frills,extremely detailed cg unity 8k wallpaper,loong,dragon background,loong background,game cg,depth of field,cape hood",",",,,,
元素法典,!ポジティブ,圣光法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{detailed light},{{an extremely delicate and beautiful}},{beautiful detailed eyes},{sunlight},{angel},solo,young girls,dynamic angle,floating,bare shoulders,looking at viewer,wings,arms up,halo,floating white silk,{holy light},just like silver stars imploding we absorb the light of day",",",,,,
元素法典,!ポジティブ,坠落法ポジティブ,"{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{{{full body}}}},{unhelpless},tear,crying,{{{{{falling from the sky}}}}},{{weathering with you}},{{{full body}}},{illustration},{1 girl},{{falling}},tear,{{face towards the sky}},{hair flows upwards},{{illustration}},{{disheveled hair}},anime screeshot,{{frills}},{1 girl},big top sleeves,floating,beautiful detailed isky,beautiful detailed eyes,overexposure,expressionless,side blunt bangs,hairs between eyes,ribbons,bowties,buttons,bare shoulders,{{{small breast}}},detailed clothes,blank stare",",",,,,
元素法典,!ポジティブ,废土法ポジティブ,"{{{masterpiece}}},best quality,illustration,{{{1girl}}},{{cute anime face}},{beautiful detailed girl},expressionless,cold attitude,red pupils,short hair,white hair,{{{beautiful detailed eyes}}},jacket,cracked floor,damaged classroom,tables and chairs in disarray,the residual eaves duanbi,beautiful sky,cumulus,mouldy,floating,wind,dead end machine,{broken robot},{mechanical girl}",",",,,,
元素法典,!ポジティブ,战姬法ポジティブ,"{{{solo}}},highres,{{best quality;highly detailed}},beautiful detailed blue eyes,light blush,expressionless,white hair,hair fluttering in the wind,mechanical arm armor,mechanical body armor,clothes,riding motor,{bodysuit},ruins of city in war,fire,burning cars,burning buildings,air force fleet in the sky,dusk,bird see",",",,,,
元素法典,!ポジティブ,摄影法ポジティブ,"{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,{{very delicate light}},{{nature}},painting,{{fine lighting}},more transparent stars,high quality snowflakes,high quality mountains,very fine 8kcg wallpapers,{plateau},{{{snow mountain}}},sunrise,randomly distributed clouds,{snow field},cliff,{{rotating star sky}},{{lake in mountain stream}},luminous particles",",",,,,
元素法典,!ポジティブ2,暗鸦法ポジティブ,"{{{masterpiece}}},best quality,extremely detailed cg unity 8k,illustration,contour deepening beautiful detailed glow,{beautiful detailed eyes},{{1 girl}},{{bana}},large top sleeves,floating black ashes,beautiful and detailed black,red moon,{{the black clouds}},{black wings},a black cloudy sky,burning,black dress,{beautiful detailed eyes},black expressionless,beautiful detailed white gloves,{crow},bat,{{{{{{{{{{floating black cloud}}}}}}}}}},white and black hair,disheveled hair,long bangs,hairs between eyes,black knee highs,black ribbon,white bowties,midriff,{{{half closed eyes}}},{{black fog}},red eyes,{black smoke},complex pattern,{{black feathers floating in the air}},{{{arms behind back}}}",",",,,,
元素法典,!ポジティブ2,黄金律ポジティブ,"{{masterpiece}},best quality,amazing,{beautiful detailed eyes},{1girl},extremely detailed cg unity 8k wallpaper,highly detailed,official art,highres,original,blonde hair,yellow eyes,white skin,slim legs,mature female,sunrise,golden sky,magnificent architecture,beautiful detailed sky,overexposure,detailed background,delicate gold metal decorations",",",,,,
元素法典,!ポジティブ2,花火法基础ポジティブ,"{{extremely detailed cg unity 8k wallpaper}},{masterpiece},{best quality},{ultra detailed},{best illustration},{best shadow},{an extremely delicate and beautiful},{{{{1girl}}}},dynamic angle,floating,finely detail,{bloom},{shine},glinting stars,{{{{best detailed fireworks}}}},{{{{depth of field}}}},{{{hanabi}}},beautiful detailed girl,{{{backlight}}},extremely delicate and beautiful girls,{{summer long skirt}},{{{solo}}},best detailed hair,{{beautiful detailed water}},night sky,{{{small breast}}},beautiful detailed sky,beautiful detailed eyes,{{{arms behind back}}},long hair,{{{dynamic angle}}},long skirt",",",,,,
元素法典,!ポジティブ2,机凯姬 改ポジティブ,"masterpiece,best quality,illustration,beautiful detailed eyes,colorful background,mechanical prosthesis,mecha coverage,emerging dark purple across with white hair,pig tails,disheveled hair,fluorescent purple,cool movement,rose red eyes,beautiful detailed cyberpunk city,multicolored hair,beautiful detailed glow,1 girl,expressionless,cold expression,insanity,long bangs,long hair,lace,dynamic composition,motion,ultra detailed,incredibly detailed,a lot of details,amazing fine details and brush strokes,smooth,hd semirealistic anime cg concept art digital painting",",",,,,
元素法典,!ポジティブ2,金石法ポジティブ,"hide hands,{magic circle},principal,{{gem}},elegant,{holy},extremely detailed 8k wallpaper,{painting},{{{ink}}},{depth of field},{{best quality}},{{masterpiece}},{highres},{{{ink}}},{illustration},cinematic lighting,{{ultra detailed}},{watercolor},detailed shadow,{{{1girl}}},{detailed flooding feet},{{{{{long top sleeves past fingers}}}}},{{motion}},beautiful detailed fullbody,{leg up},{{{sapphire frills}}},{{{yokozuwari in the golden cage}}},gold cage,{birdcage},{{{very long dress cover feet}}},{translucent fluttering dress with lace},{{detailed skin}},{{{long bright wavy hair}}},juliet sleeve,{{{hands hide in puffy sleeves}}},{{bare shoulders}},flat chst,{{crystal shoes}},{{{{arms behind back}}}},{{{extremely detailed cute anime face}}},jewelry decoration,{{expressionless}},{iridescent gem headwear},{beautiful detailed gemological eyes},{{melting silver and gold}},looking at viewer,{detailed bare foot},obsidian bracelet,gold arm ring,{precious refraction},{splash},{{optical phenomena}},detailed glow,{lightroom},{shine},chains,reflective,gemological ornaments,cosmic background of nebula,{{silver thorns}},{huge golden clock core above},gear,falling petals,window pane,beautiful water,colored crystal,mirror,silver frame,canopy,detailed diamonds,{columnar crystal},{columnar crystal},latin cross budded,{sputtered broken glass from inside to outside},{flow},dark",",",,,,
元素法典,!ポジティブ2,血法改ポジティブ,"{{solo}},best quality,amazing,1girl,extremely detailed cg unity 8k wallpaper,masterpiece,{loli},{white hair},{{{red streaked hair}}},red eyes,{{{full body}}},{red hair},{{{{{hold a red sword}}}}},{angry face},{beautiful detailed eyes},{{blood drop}},{{blood fog}},light shafts,soft focus,character focus,disheveled hair,long bangs,hairs between eyes,looking at viewer,lowing hair,{{splashing blood}},long hair,{{bloodstain}},fighting stance,{{{{{{watercolor medium}}}}}},{{{masterpiece}}},{{white clock}},{{ultra detailed}},{{covered in blood}},flowing hair,exquisite flame,{{{{{{extremely beautiful detailed anime face}}}}}},dynamic angle,floating,{shine},extremely delicate and beautiful girls,bright skin,{best illustration},{best shadow},finely detail,{depth of field bloom},{painting},{very delicate light},perfect and delicate limbs,beautiful detailed dress,flying red petals,holy lighting",",",,,,
元素法典,!ポジティブ2,幻碎梦ポジティブ,"8k wallpaper,grand,{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,rainbow hair,detailed cute anime face,{{loli}},{{{masterpiece}}},an extremely delicate and beautiful girl,flower,cry,water,corrugated,flowers tire,broken glass,{broken screen},atlantis,transparent glass",",",,,,
