uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
オブジェクト,小物,サッカーボール,soccer ball,",",,1,形状,12
オブジェクト,小物,タバコ,cigarettes,",",,1,系統,3
オブジェクト,小物,パソコン,personal computer,",",,1,材質,12
オブジェクト,小物,花瓶,vase,",",,1,時代,1
オブジェクト,小物,懐中時計,pocket watch,",",,1,状態,23
オブジェクト,小物,掛け布団,quilt,",",,1,色,24
オブジェクト,小物,携帯電話,cellphone,",",,1,"大きさ,長さ,量",7
オブジェクト,小物,鎖,chain,",",,1,品質,12
オブジェクト,小物,手錠,manacles,",",,1,柄,12
オブジェクト,小物,点滴,intravenous drip,",",,1,カレー,5
オブジェクト,小物,電話,phone,",",,1,ごはん,4
オブジェクト,小物,動物のぬいぐるみ,stuffed animal,",",,1,パン,3
オブジェクト,小物,本,book,",",,1,果物,6
オブジェクト,小物,枕,pillow,",",,1,食べ物,1
オプション,オプション,ジッパー,zipper,",",,1,肉類,5
オプション,オプション,ホイップクリーム,whipped cream,",",,1,麺類,3
オプション,オプション,まゆ毛が前髪で隠れている,eyebrows hidden by hair,",",,1,野菜,1
オプション,オプション,メガネを頭にかける,eyewear on head,",",,1,しっぽ,2
オプション,オプション,ワンピースの日焼け跡,one piece tan,",",,1,ほくろ,3
オプション,オプション,飴（個包装）,candy,",",,,下半身,15
オプション,オプション,飴（棒付き）,lolipop,",",,,角,9
オプション,オプション,開放,unzipped,",",,,顔,3
オプション,オプション,死,death,",",,,胸,12
オプション,オプション,傷がついてる系,injury,",",,,口,6
オプション,オプション,傷がついてる系2,scar on face,",",,,歯,3
オプション,オプション,触覚,antennae,",",,,耳,17
オプション,オプション,絶対空域,thigh gap,",",,,手,9
オプション,オプション,絶対空域2,ass visible through thighs,",",,,上半身,11
オプション,オプション,絶対空域3,with thigh gap,",",,,尻,2
オプション,オプション,天使の輪,halo,",",,,身体,2
オプション,オプション,土とか砂の汚れが付着,trait connection,",",,,足,1
オプション,オプション,特性接続,characteristic connection,",",,,体型,4
オプション,オプション,匂い,smell,",",,,体形,8
オプション,オプション,日焼け跡,tanlines,",",,,頭部,20
オプション,オプション,濡れた汗,wet sweat,",",,,肌,2
オプション,オプション,濡れた布,wet cloth,",",,,肌質,1
オプション,オプション,波紋,ripples,",",,,肌色,24
オプション,オプション,破れたドレス,torn dress,",",,,髪型,41
オプション,オプション,破れた服,torn clothesup,",",,,髪型2,28
オプション,オプション,皮ひも,thong,",",,,髪質,2
オプション,オプション,抱きまくら,dakimakura,",",,,髪色,26
オプション,液体,涙,tears,",",,,眉,3
オプション,汚物,排泄物,excrement,",",,,髭,1
オプション,汚物,糞便,faeces,",",,,部位,18
お気に,お気に,はだけた胸,open chest,",",,,目,23
お気に,お気に,ベンチ座り,sitting on bench,",",,,目の色,3
お気に,お気に,むき出しの白シャツ,bare white shirt,",",,,裸,8
お気に,お気に,椅子座り,sitting on chair,",",,,女性,8
カメラワーク,その他,焦点がはっきりする,sharp focus,",",,,人数,1
